finding	location	file_path	record_id	name	value	unit	detail
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_1_25_mm_exogenous_atp_5_0_mm_mg_2.yaml	CultureMech:007393		1.25	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_20_mm_exogenous_atp_10_mm_mg_2.yaml	CultureMech:007416		20.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_20_mm_exogenous_atp_1_25_mm_mg_2.yaml	CultureMech:007413		20.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_20_mm_exogenous_atp_20_mm_mg_2.yaml	CultureMech:007418		20.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_20_mm_exogenous_atp_2_5_mm_mg_2.yaml	CultureMech:007414		20.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_20_mm_exogenous_atp_5_0_mm_mg_2.yaml	CultureMech:007415		20.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_2_5_mm_exogenous_atp_10_mm_mg_2.yaml	CultureMech:007400		2.5	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_2_5_mm_exogenous_atp_1_25_mm_mg_2.yaml	CultureMech:007397		2.5	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_2_5_mm_exogenous_atp_20_mm_mg_2.yaml	CultureMech:007401		2.5	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_2_5_mm_exogenous_atp_2_5_mm_mg_2.yaml	CultureMech:007398		2.5	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_2_5_mm_exogenous_atp_5_0_mm_mg_2.yaml	CultureMech:007399		2.5	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_5_0_mm_exogenous_atp_10_mm_mg_2.yaml	CultureMech:007405		5.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_5_0_mm_exogenous_atp_1_25_mm_mg_2.yaml	CultureMech:007402		5.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_5_0_mm_exogenous_atp_20_mm_mg_2.yaml	CultureMech:007407		5.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_5_0_mm_exogenous_atp_2_5_mm_mg_2.yaml	CultureMech:007403		5.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_5_0_mm_exogenous_atp_5_0_mm_mg_2.yaml	CultureMech:007404		5.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
