file	preferred_term	from_chebi	to_chebi
data/normalized_yaml/bacterial/mediadive_47_Main_sol_32.yaml	Glycerol	CHEBI:17754	CHEBI:17754
data/normalized_yaml/bacterial/mediadive_47_Main_sol_32.yaml	Tris	CHEBI:82282	CHEBI:9754
data/normalized_yaml/bacterial/mediadive_47_Main_sol_32.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_47_Main_sol_32.yaml	Agar	CHEBI:2509	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_4801_Main_sol_J837.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4801_Main_sol_J837.yaml	Sodium acetate	CHEBI:32954	CHEBI:32954
data/normalized_yaml/bacterial/mediadive_4801_Main_sol_J837.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_4802_Main_sol_J838.yaml	Agar	CHEBI:2509	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_4802_Main_sol_J838.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4803_Main_sol_J839.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4804_Main_sol_J840.yaml	Mannitol	CHEBI:16899	CHEBI:29864
data/normalized_yaml/bacterial/mediadive_4804_Main_sol_J840.yaml	Agar	CHEBI:2509	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_4804_Main_sol_J840.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4805_Main_sol_J841.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4805_Main_sol_J841.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4805_Main_sol_J841.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4805_Main_sol_J841.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_4806_Main_sol_J842.yaml	Agar	CHEBI:2509	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_4806_Main_sol_J842.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4807_Main_sol_J843.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4807_Main_sol_J843.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
