filename	categories	classification	evidence	ids	ingredient_counts
marine_broth_2216_with_cellobiose.yaml	bacterial,specialized	DIFFERENT	1/3 ingredient rows shared; sizes [2, 2]	CultureMech:007734,CultureMech:015385	3,2
marine_broth_2216_with_pyruvate.yaml	bacterial,specialized	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:007874,CultureMech:015395	2,2
marine_caulobacter_medium.yaml	bacterial,specialized	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006089,CultureMech:015363	3,3
marine_chloroflexi_medium.yaml	bacterial,specialized	DIFFERENT	0/15 ingredient rows shared; sizes [1, 14]	CultureMech:007806,CultureMech:015391	1,14
marine_clostridium_medium.yaml	bacterial,specialized	DIFFERENT	0/40 ingredient rows shared; sizes [10, 30]	CultureMech:007805,CultureMech:015390	11,30
marine_desulfosarcina_medium.yaml	bacterial,specialized	DIFFERENT	0/42 ingredient rows shared; sizes [11, 31]	CultureMech:009767,CultureMech:015403	12,31
marine_medium_with_pyruvate.yaml	bacterial,specialized	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004058,CultureMech:015336	9,9
marine_medium_with_sulfur.yaml	bacterial,specialized	DIFFERENT	10/14 ingredient rows shared; sizes [10, 14]	CultureMech:009749,CultureMech:015401	15,10
marine_medium_with_thiosulfate.yaml	bacterial,specialized	DIFFERENT	0/15 ingredient rows shared; sizes [1, 14]	CultureMech:009751,CultureMech:015402	15,1
marine_methanobacterium_medium.yaml	archaea,specialized	DIFFERENT	0/42 ingredient rows shared; sizes [11, 31]	CultureMech:007804,CultureMech:015389	12,31
marine_srb_medium.yaml	bacterial,specialized	DIFFERENT	1/43 ingredient rows shared; sizes [12, 32]	CultureMech:007665,CultureMech:015379	13,32
marine_thermococcus_medium.yaml	archaea,specialized	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006415,CultureMech:015367	16,16
marine_tryptone_yeast_extract_medium.yaml	bacterial,fungal	DIFFERENT	0/21 ingredient rows shared; sizes [10, 11]	CultureMech:007827,CultureMech:010496	11,11
masm.yaml	bacterial,algae	DIFFERENT	5/20 ingredient rows shared; sizes [8, 17]	CultureMech:000357,CultureMech:000082	17,8
mbbm.yaml	bacterial,algae	DIFFERENT	4/20 ingredient rows shared; sizes [7, 17]	CultureMech:000358,CultureMech:000083	17,7
mc.yaml	bacterial,algae	DIFFERENT	0/10 ingredient rows shared; sizes [3, 7]	CultureMech:000359,CultureMech:000086	7,3
mc_ii.yaml	bacterial,algae	DIFFERENT	0/9 ingredient rows shared; sizes [3, 6]	CultureMech:000361,CultureMech:000084	6,3
mch.yaml	bacterial,algae	DIFFERENT	0/6 ingredient rows shared; sizes [1, 5]	CultureMech:000362,CultureMech:000087	5,1
mdy_v.yaml	bacterial,algae	DIFFERENT	4/19 ingredient rows shared; sizes [6, 17]	CultureMech:000363,CultureMech:000088	17,6
medium_for_aciduric_thermophilic_bacillus_strains.yaml	bacterial,archaea	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006270,CultureMech:000277	9,9
medium_for_marine_methylotrophs.yaml	bacterial,specialized	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006402,CultureMech:015366	7,7
medium_for_marine_spirochaetes.yaml	bacterial,specialized	DIFFERENT	0/42 ingredient rows shared; sizes [10, 32]	CultureMech:007761,CultureMech:015386	11,32
merds.yaml	bacterial,algae	DIFFERENT	0/8 ingredient rows shared; sizes [1, 7]	CultureMech:000364,CultureMech:000089	7,1
merds_my75s.yaml	bacterial,algae	DIFFERENT	0/13 ingredient rows shared; sizes [2, 11]	CultureMech:000365,CultureMech:000090	11,2
mhy.yaml	bacterial,algae	DIFFERENT	5/21 ingredient rows shared; sizes [12, 14]	CultureMech:000366,CultureMech:000091	14,12
moderate_halophile_medium_2.yaml	bacterial,archaea	EQUIVALENT	same after normalizing ingredient labels and ignoring water	CultureMech:007846,CultureMech:000290	12,11
modified_bacto_marine_broth.yaml	bacterial,specialized	DIFFERENT	1/22 ingredient rows shared; sizes [5, 18]	CultureMech:005870,CultureMech:015359	18,5
modified_brocks_basal_salts_yeast_extract_medeium_b.yaml	bacterial,fungal	DIFFERENT	4/22 ingredient rows shared; sizes [13, 13]	CultureMech:009987,CultureMech:010539	14,13
modified_brocks_basal_salts_yeast_extract_medium.yaml	bacterial,fungal	DIFFERENT	4/22 ingredient rows shared; sizes [13, 13]	CultureMech:009937,CultureMech:010534	14,13
modified_brocks_basal_salts_yeast_extract_tryptone_medium.yaml	bacterial,fungal	DIFFERENT	4/23 ingredient rows shared; sizes [13, 14]	CultureMech:010261,CultureMech:010550	15,13
modified_marine_agar_2216.yaml	bacterial,specialized	DIFFERENT	0/8 ingredient rows shared; sizes [4, 4]	CultureMech:007881,CultureMech:015396	5,4
modified_marine_agar_2216_with_5_nacl_ph_9.yaml	bacterial,specialized	DIFFERENT	1/19 ingredient rows shared; sizes [5, 15]	CultureMech:007807,CultureMech:015392	6,15
modified_marine_medium.yaml	bacterial,specialized	DIFFERENT	0/39 ingredient rows shared; sizes [15, 24]	CultureMech:009799,CultureMech:015405	16,24
modified_marine_medium_for_desulfovibrio_tokyoensis.yaml	bacterial,specialized	DIFFERENT	0/44 ingredient rows shared; sizes [14, 30]	CultureMech:009893,CultureMech:015409	15,30
modified_marine_medium_for_dethiosulfobacter.yaml	bacterial,specialized	DIFFERENT	0/46 ingredient rows shared; sizes [15, 31]	CultureMech:009892,CultureMech:015408	16,31
modified_medium_for_marine_spirochaetes.yaml	bacterial,specialized	DIFFERENT	0/40 ingredient rows shared; sizes [10, 30]	CultureMech:007786,CultureMech:015388	11,30
mp.yaml	bacterial,algae	DIFFERENT	0/14 ingredient rows shared; sizes [6, 8]	CultureMech:000368,CultureMech:000092	6,8
mrs_maltose_medium.yaml	bacterial,fungal	DIFFERENT	1/3 ingredient rows shared; sizes [2, 2]	CultureMech:009414,CultureMech:010518	3,2
mw.yaml	bacterial,algae	DIFFERENT	0/2 ingredient rows shared; sizes [1, 1]	CultureMech:000369,CultureMech:000093	1,1
mwc.yaml	bacterial,algae	DIFFERENT	0/33 ingredient rows shared; sizes [15, 18]	CultureMech:000370,CultureMech:000094	18,15
