file_path	record_id	verdict	detail	ungrounded_siblings
bacterial/medium_662_modified_for_dsm_6699.yaml	CultureMech:006242	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Polypeptone
bacterial/medium_662_modified_for_dsm_6700.yaml	CultureMech:006243	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Polypeptone
bacterial/medium_684_modified_for_dsm_14055.yaml	CultureMech:006285	PROMOTED	0.199402 g/L Yeast extract; 32 others all CHEBI-grounded	
bacterial/medium_684_modified_for_dsm_23957.yaml	CultureMech:006287	PROMOTED	0.199402 g/L Yeast extract; 32 others all CHEBI-grounded	
bacterial/medium_935_modified_for_dsm_14783.yaml	CultureMech:006855	PROMOTED	0.49456 g/L Yeast extract; 33 others all CHEBI-grounded	
bacterial/medium_for_arhodomonas_and_marinobacter.yaml	CultureMech:002117	PROMOTED	0.1 g/L Bacto peptone; 26 others all CHEBI-grounded	
bacterial/medium_for_campylobacter_dsm_806.yaml	CultureMech:003971	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Na-aspartate
bacterial/medium_for_ectothiorhodospira.yaml	CultureMech:001352	PROMOTED	0.49456 g/L Yeast extract; 26 others all CHEBI-grounded	
bacterial/medium_for_hydrogenophilus.yaml	CultureMech:001210	PROMOTED	0.002 g/L Yeast extract; 15 others all CHEBI-grounded	
bacterial/medium_for_lichenibacterium.yaml	CultureMech:001168	PROMOTED	0.2 g/L Yeast extract; 14 others all CHEBI-grounded	
bacterial/medium_for_strain_ja746.yaml	CultureMech:008530	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	Vitamin B12 (0.002% (w/v)); HCl (25%; 7.7 M)
bacterial/medium_for_strain_kc3.yaml	CultureMech:008608	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	K2HPO; Cysteine HCl
bacterial/medium_for_strain_mp_01.yaml	CultureMech:010405	PROMOTED	0.1 g/L Yeast extract; 24 others all CHEBI-grounded	
bacterial/medium_for_strain_r_1.yaml	CultureMech:008433	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Agar (if needed)
bacterial/medium_for_strain_sanae.yaml	CultureMech:008264	PROMOTED	0.1 g/L Bacto Yeast Extract (Difco); 33 others all CHEBI-grounded	
bacterial/medium_for_strain_ug1.yaml	CultureMech:008481	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Na2SiO3
bacterial/medium_for_sulfospirillum_dsm_806.yaml	CultureMech:000678	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Na-aspartate
bacterial/medium_h.yaml	CultureMech:008311	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	Seawater; Agar (if needed)
bacterial/medium_modified_for_dechloromonas_spp.yaml	CultureMech:002121	PROMOTED	0.111111 g/L Yeast extract; 33 others all CHEBI-grounded	
bacterial/medium_ycfagsc.yaml	CultureMech:009196	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Casitone
bacterial/methylovirgula_ligni_medium.yaml	CultureMech:000677	PROMOTED	0.1 g/L Yeast extract; 13 others all CHEBI-grounded	
bacterial/mgp_medium.yaml	CultureMech:002721	PROMOTED	0.110619 g/L Yeast extract; 28 others all CHEBI-grounded	
bacterial/microvirgula_medium.yaml	CultureMech:002135	PROMOTED	0.25 g/L Yeast extract; 6 others all CHEBI-grounded	
bacterial/mineral_medium_with_glucose.yaml	CultureMech:002288	PROMOTED	0.0977517 g/L Yeast extract; 26 others all CHEBI-grounded	
bacterial/miura_medium_lca.yaml	CultureMech:002703	PROMOTED	0.2 g/L Yeast extract; 6 others all CHEBI-grounded	
bacterial/mm3.yaml	CultureMech:001236	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Hemicalcium D-(+)-pantothenate
bacterial/mm4y_medium.yaml	CultureMech:002205	PROMOTED	0.05 g/L Yeast extract; 15 others all CHEBI-grounded	
bacterial/mmj_do_medium.yaml	CultureMech:002846	PROMOTED	0.1 g/L Yeast extract; 15 others all CHEBI-grounded	
bacterial/mmj_s304_medium.yaml	CultureMech:003098	PROMOTED	0.492126 g/L Yeast extract; 23 others all CHEBI-grounded	
bacterial/mo_ys_medium.yaml	CultureMech:002252	PROMOTED	0.044964 g/L Yeast extract; 31 others all CHEBI-grounded	
bacterial/modified_1_10_hd_medium.yaml	CultureMech:008728	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Agar (if needed)
bacterial/modified_1_5_sws_casein_starch_medium.yaml	CultureMech:008383	CURATOR: ground the sibling, or add it to the undefined list	4 other ingredient(s) not CHEBI-grounded	Starch from corn (SIGMA); Casein sodium; β-glycerophosphate-2Na; Bacto Agar (Difco)
bacterial/modified_288_medium.yaml	CultureMech:008535	PROMOTED	0.1 g/L Bacto Yeast Extract (Difco); 7 others all CHEBI-grounded	
bacterial/modified_biebl_and_pfennigs_medium.yaml	CultureMech:000501	PROMOTED	0.4 g/L Yeast extract; 14 others all CHEBI-grounded	
bacterial/modified_desulfoglaeba_alkanexedens_medium.yaml	CultureMech:002872	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	Sea Salt; Trace vitamins (see Medium No. 197)
bacterial/modified_desulfoglaeba_medium.yaml	CultureMech:003661	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Sea Salt
bacterial/modified_eichler_and_pfennigs_medium.yaml	CultureMech:002848	PROMOTED	0.499002 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/modified_marine_medium.yaml	CultureMech:009799	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	DL--Sodium malate
bacterial/modified_mmjy_medium.yaml	CultureMech:008216	PROMOTED	0.1 g/L Bacto Yeast Extract (Difco); 40 others all CHEBI-grounded	
bacterial/modified_mpob_medium.yaml	CultureMech:003340	PROMOTED	0.395648 g/L Yeast extract; 28 others all CHEBI-grounded	
bacterial/modified_pfennig_medium_with_glucose.yaml	CultureMech:009529	PROMOTED	0.1 g/L Yeast extract; 8 others all CHEBI-grounded	
bacterial/modified_sulfate_reducing_bacteria_medium.yaml	CultureMech:002714	PROMOTED	0.49505 g/L Tryptone; 23 others all CHEBI-grounded	
