yaml_path	category_dir	primary_target	excluded_reason	id	name	original_name	medium_type	physical_state	target_organism_count	growth_metric_count	supported_growth_evidence_count	genome_id_count	variant_count	proposal_path	proposal_candidate_count	proposal_support_count	proposal_review_count	review_status	load_error
data/normalized_yaml/algae/CCAP_ASW 150 + barley  + barley grain_).yaml	algae	True		CultureMech:000045	asw_150_barley	ASW 150 + barley	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CCAP_ASW 150 + barley  + barley grain_).yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/CCAP_ASW 225 + barley  + barley grain_).yaml	algae	True		CultureMech:000047	asw_225_barley	ASW 225 + barley	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CCAP_ASW 225 + barley  + barley grain_).yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/CCAP_ASW 300 + barley  + barley grain_).yaml	algae	True		CultureMech:000049	asw_300_barley	ASW 300 + barley	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CCAP_ASW 300 + barley  + barley grain_).yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/CCAP_C Medium_ Modified.yaml	algae	True		CultureMech:000057	c_medium_modified	C Medium, Modified	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CCAP_C Medium_ Modified.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/CCAP_MC II .yaml	algae	True		CultureMech:000085	mc_ii	MC II	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CCAP_MC II .yaml	1	0	1	has_review_candidates	
data/normalized_yaml/algae/CCAP_NN  Agar.yaml	algae	True		CultureMech:000106	nn	NN	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CCAP_NN  Agar.yaml	4	0	4	has_review_candidates	
data/normalized_yaml/algae/CCAP_TAP Medium.yaml	algae	True		CultureMech:000139	tap_medium	TAP Medium	COMPLEX	LIQUID	1	1	2	1	0	workspace/reports/growth_evidence_proposals/CCAP_TAP Medium.yaml	2	0	2	applied_growth_evidence	
data/normalized_yaml/algae/CHEV_Diatom_Medium.yaml	algae	True		CultureMech:000151	chev_diatom_medium	CHEV Diatom Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CHEV_Diatom_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/CR1+_Diatom_Medium.yaml	algae	True		CultureMech:000152	cr1_diatom_medium	CR1+ Diatom Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CR1+_Diatom_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/CR1_Diatom_Medium.yaml	algae	True		CultureMech:000154	cr1_diatom_medium	CR1 Diatom Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/CR1_Diatom_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Combo_Diatom_Medium.yaml	algae	True		CultureMech:000156	combo_diatom_medium	Combo Diatom Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Combo_Diatom_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Cyanidium_Medium.yaml	algae	True		CultureMech:000157	cyanidium_medium	Cyanidium Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Cyanidium_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Cyanophycean_Medium.yaml	algae	True		CultureMech:000158	cyanophycean_medium	Cyanophycean Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Cyanophycean_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/DYIII_Medium.yaml	algae	True		CultureMech:000159	dyiii_medium	DYIII Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/DYIII_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/DYV_Medium.yaml	algae	True		CultureMech:000160	dyv_medium	DYV Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/DYV_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Dasycladales_Seawater_Medium.yaml	algae	True		CultureMech:000161	dasycladales_seawater_medium	Dasycladales Seawater Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Dasycladales_Seawater_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Desmid_Medium.yaml	algae	True		CultureMech:000162	desmid_medium	Desmid Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Desmid_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/ES_10_Enriched_Seawater_Medium.yaml	algae	True		CultureMech:000163	es_10_enriched_seawater_medium	ES/10 Enriched Seawater Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/ES_10_Enriched_Seawater_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/ES_2_Enriched_Seawater_Medium.yaml	algae	True		CultureMech:000164	es_2_enriched_seawater_medium	ES/2 Enriched Seawater Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/ES_2_Enriched_Seawater_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/ES_4_Enriched_Seawater_Medium.yaml	algae	True		CultureMech:000165	es_4_enriched_seawater_medium	ES/4 Enriched Seawater Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/ES_4_Enriched_Seawater_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Enriched_Seawater_Medium.yaml	algae	True		CultureMech:000166	enriched_seawater_medium	Enriched Seawater Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Enriched_Seawater_Medium.yaml	1	0	1	has_review_candidates	
data/normalized_yaml/algae/Euglena_Medium.yaml	algae	True		CultureMech:000168	euglena_medium	Euglena Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Euglena_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/F_2_Medium.yaml	algae	True		CultureMech:000170	f_2_medium	F/2 Medium	COMPLEX	LIQUID	4	5	8	0	3	workspace/reports/growth_evidence_proposals/F_2_Medium.yaml	1	0	1	applied_growth_evidence	
data/normalized_yaml/algae/HEPES_Medium.yaml	algae	True		CultureMech:000171	hepes_medium	HEPES Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/HEPES_Medium.yaml	2	0	2	has_review_candidates	
data/normalized_yaml/algae/J_Medium.yaml	algae	True		CultureMech:000172	j_medium	J Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/J_Medium.yaml	2	0	2	has_review_candidates	
data/normalized_yaml/algae/LDM_Medium.yaml	algae	True		CultureMech:000173	ldm_medium	LDM Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/LDM_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Malt_Medium.yaml	algae	True		CultureMech:000175	malt_medium	Malt Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Malt_Medium.yaml	2	0	2	has_review_candidates	
data/normalized_yaml/algae/Modified_2X_CHEV_Medium.yaml	algae	True		CultureMech:000177	modified_2x_chev_medium	Modified 2X CHEV Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Modified_2X_CHEV_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Modified_Artificial_Seawater_Medium.yaml	algae	True		CultureMech:000178	modified_artificial_seawater_medium	Modified Artificial Seawater Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Modified_Artificial_Seawater_Medium.yaml	1	0	1	has_review_candidates	
data/normalized_yaml/algae/Modified_Bolds_3N_Medium.yaml	algae	True		CultureMech:000179	modified_bolds_3n_medium	Modified Bolds 3N Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Modified_Bolds_3N_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Modified_CHEV_Medium.yaml	algae	True		CultureMech:000180	modified_chev_medium	Modified CHEV Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Modified_CHEV_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Modified_COMBO_Medium.yaml	algae	True		CultureMech:000181	modified_combo_medium	Modified COMBO Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Modified_COMBO_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Modified_Desmidiacean_Medium.yaml	algae	True		CultureMech:000182	modified_desmidiacean_medium	Modified Desmidiacean Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Modified_Desmidiacean_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/N_20_Medium.yaml	algae	True		CultureMech:000183	n_20_medium	N/20 Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/N_20_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Ochromonas_Medium.yaml	algae	True		CultureMech:000184	ochromonas_medium	Ochromonas Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Ochromonas_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/P49_Medium.yaml	algae	True		CultureMech:000185	p49_medium	P49 Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/P49_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Polytomella_Medium.yaml	algae	True		CultureMech:000186	polytomella_medium	Polytomella Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Polytomella_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Porphryridium_Medium.yaml	algae	True		CultureMech:000187	porphryridium_medium	Porphryridium Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Porphryridium_Medium.yaml	0	0	0	reviewed_no_candidates	
