filename,medium_name,extracted_organism,ncbi_taxon_id,ncbi_taxon_label,strain,culture_type,confidence,extraction_pattern,approve
archaea/JCM_J433_PSEUDOMONAS_HALOPHILA_MEDIUM.yaml,JCM J433 PSEUDOMONAS HALOPHILA MEDIUM,PSEUDOMONAS HALOPHILA,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J599_MODERATE_HALOPHILE_MEDIUM.yaml,JCM J599 MODERATE HALOPHILE MEDIUM,MODERATE HALOPHILE,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J622_EXILISPIRA_THERMOPHILA_MEDIUM.yaml,JCM J622 EXILISPIRA THERMOPHILA MEDIUM,EXILISPIRA THERMOPHILA,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J718_SPOROLITUUS_THERMOPHILUS_MEDIUM.yaml,JCM J718 SPOROLITUUS THERMOPHILUS MEDIUM,SPOROLITUUS THERMOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J959_THERMANAEROBACTER_THERMOPHILA_MEDIUM.yaml,JCM J959 THERMANAEROBACTER THERMOPHILA MEDIUM,THERMANAEROBACTER THERMOPHILA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1010_DESULFOPILA_CORRODENS_MEDIUM.yaml,DSMZ 1010 DESULFOPILA CORRODENS MEDIUM,DESULFOPILA CORRODENS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1011_SULFURIMONAS_MJ_MEDIUM.yaml,DSMZ 1011 SULFURIMONAS MJ MEDIUM,SULFURIMONAS MJ,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1011a_THIOBACTER_MJ_MEDIUM.yaml,DSMZ 1011a THIOBACTER MJ MEDIUM,THIOBACTER MJ,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1011b_THERMOSIPHO_MJ_MEDIUM.yaml,DSMZ 1011b THERMOSIPHO MJ MEDIUM,THERMOSIPHO MJ,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1011c_DESULFOTHERMUS_MJ_MEDIUM_H2_CO2.yaml,DSMZ 1011c DESULFOTHERMUS MJ MEDIUM H2 CO2,DESULFOTHERMUS MJ,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1011d_GALENEA_MJ_MEDIUM_CO2.yaml,DSMZ 1011d GALENEA MJ MEDIUM CO2,GALENEA MJ,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1012a_BDELLOVIBRIO_BACTERIOVORUS_MEDIUM.yaml,DSMZ 1012a BDELLOVIBRIO BACTERIOVORUS MEDIUM,BDELLOVIBRIO BACTERIOVORUS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1018_HALOFERAX_SULFURIFONTIS_MEDIUM.yaml,DSMZ 1018 HALOFERAX SULFURIFONTIS MEDIUM,HALOFERAX SULFURIFONTIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1021_SODALIS_GLOSSINIDIUS_MEDIUM.yaml,DSMZ 1021 SODALIS GLOSSINIDIUS MEDIUM,SODALIS GLOSSINIDIUS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1024_NITRATIRUPTOR_AND_NITRATIFRACTOR_MEDIUM.yaml,DSMZ 1024 NITRATIRUPTOR AND NITRATIFRACTOR MEDIUM,NITRATIRUPTOR AND,,,,isolate,high,genus_species_strain_medium,TRUE
bacterial/DSMZ_102_FLAVOBACTERIUM_AQUATILE_MEDIUM.yaml,DSMZ 102 FLAVOBACTERIUM AQUATILE MEDIUM,FLAVOBACTERIUM AQUATILE,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1032_MEDIUM_FOR_METHYLOBACTERIUM_PODARIUM.yaml,DSMZ 1032 MEDIUM FOR METHYLOBACTERIUM PODARIUM,METHYLOBACTERIUM PODARIUM,,,,isolate,high,medium_for_genus_species,TRUE
bacterial/DSMZ_1034_ALKALIPHILIC_HALOMONAS_MEDIUM.yaml,DSMZ 1034 ALKALIPHILIC HALOMONAS MEDIUM,ALKALIPHILIC HALOMONAS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1036_ACETIVIBRIO_ALKALICELLULOSI_MEDIUM.yaml,DSMZ 1036 ACETIVIBRIO ALKALICELLULOSI MEDIUM,ACETIVIBRIO ALKALICELLULOSI,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1037_THIOMONAS_DELICATA_MEDIUM.yaml,DSMZ 1037 THIOMONAS DELICATA MEDIUM,THIOMONAS DELICATA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1041_DESULFUROMUSA_FERRIREDUCENS_MEDIUM.yaml,DSMZ 1041 DESULFUROMUSA FERRIREDUCENS MEDIUM,DESULFUROMUSA FERRIREDUCENS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1044_GLUCONACETOBACTER_RHAETICUS_MEDIUM.yaml,DSMZ 1044 GLUCONACETOBACTER RHAETICUS MEDIUM,GLUCONACETOBACTER RHAETICUS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1046_ANOXYBACILLUS_AMYLOLYTICUS_MEDIUM.yaml,DSMZ 1046 ANOXYBACILLUS AMYLOLYTICUS MEDIUM,ANOXYBACILLUS AMYLOLYTICUS,,,,isolate,high,genus_species_medium,TRUE
