culturemech_id	file_path
CultureMech:000140	data/normalized_yaml/algae/CCAP_UCM.yaml
CultureMech:000141	data/normalized_yaml/algae/CCAP_UM.yaml
CultureMech:000142	data/normalized_yaml/algae/CCAP_Walne'.yaml
CultureMech:000143	data/normalized_yaml/algae/CCAP_Wari_-H.yaml
CultureMech:000144	data/normalized_yaml/algae/CCAP_YEL.yaml
CultureMech:000145	data/normalized_yaml/algae/CCAP_YPD Agar.yaml
CultureMech:000146	data/normalized_yaml/algae/CCAP_ZM_10.yaml
CultureMech:000147	data/normalized_yaml/algae/CCAP_f_2 + Si for heterotrophic growth.yaml
CultureMech:000148	data/normalized_yaml/algae/CCAP_f_2 + Si.yaml
CultureMech:000149	data/normalized_yaml/algae/CCAP_f_2.yaml
CultureMech:000150	data/normalized_yaml/algae/CCAP_wMY.yaml
CultureMech:000151	data/normalized_yaml/algae/CHEV_Diatom_Medium.yaml
CultureMech:000152	data/normalized_yaml/algae/CR1+_Diatom_Medium.yaml
CultureMech:000153	data/normalized_yaml/algae/CR1-S_Diatom_Medium.yaml
CultureMech:000154	data/normalized_yaml/algae/CR1_Diatom_Medium.yaml
CultureMech:000155	data/normalized_yaml/algae/Chu_s_Medium.yaml
CultureMech:000156	data/normalized_yaml/algae/Combo_Diatom_Medium.yaml
CultureMech:000157	data/normalized_yaml/algae/Cyanidium_Medium.yaml
CultureMech:000158	data/normalized_yaml/algae/Cyanophycean_Medium.yaml
CultureMech:000159	data/normalized_yaml/algae/DYIII_Medium.yaml
CultureMech:000160	data/normalized_yaml/algae/DYV_Medium.yaml
CultureMech:000161	data/normalized_yaml/algae/Dasycladales_Seawater_Medium.yaml
CultureMech:000162	data/normalized_yaml/algae/Desmid_Medium.yaml
CultureMech:000163	data/normalized_yaml/algae/ES_10_Enriched_Seawater_Medium.yaml
CultureMech:000164	data/normalized_yaml/algae/ES_2_Enriched_Seawater_Medium.yaml
CultureMech:000165	data/normalized_yaml/algae/ES_4_Enriched_Seawater_Medium.yaml
CultureMech:000166	data/normalized_yaml/algae/Enriched_Seawater_Medium.yaml
CultureMech:000167	data/normalized_yaml/algae/Erdschreiber_s_Medium.yaml
CultureMech:000168	data/normalized_yaml/algae/Euglena_Medium.yaml
CultureMech:000169	data/normalized_yaml/algae/F_2_+_NH4_Medium.yaml
CultureMech:000170	data/normalized_yaml/algae/F_2_Medium.yaml
CultureMech:000171	data/normalized_yaml/algae/HEPES_Medium.yaml
CultureMech:000172	data/normalized_yaml/algae/J_Medium.yaml
CultureMech:000173	data/normalized_yaml/algae/LDM_Medium.yaml
CultureMech:000174	data/normalized_yaml/algae/MES-Volvox_Medium.yaml
CultureMech:000175	data/normalized_yaml/algae/Malt_Medium.yaml
CultureMech:000176	data/normalized_yaml/algae/Modified_2X_CHEV_+_Soil_Medium.yaml
CultureMech:000177	data/normalized_yaml/algae/Modified_2X_CHEV_Medium.yaml
CultureMech:000178	data/normalized_yaml/algae/Modified_Artificial_Seawater_Medium.yaml
CultureMech:000179	data/normalized_yaml/algae/Modified_Bolds_3N_Medium.yaml
