culturemech_id	lineage_signature	file_path	display_name	lifecycle_status	successor_ids	lifecycle_note	catalog_schema_version
CultureMech:005286	sha256:f5457d5b803a43fe6177ce254189f8a28e32f2d022e571b941eb3377c66cabfe	data/normalized_yaml/bacterial/KOMODO_438_BORDET-GENGOU-MEDIUM_DIFCO.yaml	bordet_gengou_medium_difco	ACTIVE			1
CultureMech:005287	sha256:bfd8aaad6a0ee3ed0744d53ae52b0c7a97cea18f3aeec45b6527ad2fc280b1fc	data/normalized_yaml/bacterial/KOMODO_439_CASMAN-MEDIUM.yaml	casman_medium	ACTIVE			1
CultureMech:005288	sha256:c2fe444a38ad5c505176d09dabc115fd297edec4ba1e1423027b19535a289023	data/normalized_yaml/bacterial/KOMODO_441_DIAZOTROPHIC_medium_RBA.yaml	diazotrophic_medium_rba	ACTIVE			1
CultureMech:005289	sha256:f4f696c68c5c5a6add90e2f8d066633c9af85e720bae1a0f5182729ece27a6ee	data/normalized_yaml/bacterial/KOMODO_449_M17_medium_FOR_LACTIC_STREPTOCOCCI.yaml	m17_medium_for_lactic_streptococci	ACTIVE			1
CultureMech:005290	sha256:eee413185f71b4cd4b6f0f9938b985d1f521993d6ae26d2e42051bcd015a052b	data/normalized_yaml/bacterial/KOMODO_450_SUPPLEMENTED_ARGININE_M9_MEDIUM.yaml	supplemented_arginine_m9_medium	ACTIVE			1
CultureMech:005291	sha256:9579f50145717fc00792521cd428a19c36927583d836f6cf385f2bc98a6268e1	data/normalized_yaml/bacterial/KOMODO_452_GLUCOSE_medium_NAKAYAMA.yaml	glucose_medium_nakayama	ACTIVE			1
CultureMech:005292	sha256:240c3163a0a0f57790a0ce4c88b53b6ac6ef59aadb2bfbe45c329a67ce4314f0	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_43934.yaml	medium_453_modified_for_dsm_43934	ACTIVE			1
CultureMech:005293	sha256:fccbd12d6ebb85afd654031c11c6c852b5343f71faa0cafb68c0ef7a26bb0297	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6341.yaml	medium_453_modified_for_dsm_6341	ACTIVE			1
CultureMech:005294	sha256:1e1e32c2434881c3b7f62d2bdac62ba82a1f7dea078f56b4e4ac71c6ff340b26	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6349.yaml	medium_453_modified_for_dsm_6349	ACTIVE			1
CultureMech:005295	sha256:15d318f425583d685be15ca8082324a2163d1b5b028defc988bb11c207b6b003	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6364.yaml	medium_453_modified_for_dsm_6364	ACTIVE			1
